entry_name,site_name,pro_name,lyr_name,frc_name,frc_input,frc_property,frc_scheme,frc_scheme_units,frc_lower,frc_upper,frc_agent,frc_scheme_conc,frc_comp,frc_note,frc_mass_perc,frc_obs_date_y,frc_obs_date_m,frc_obs_date_d,frc_bet_surface_area,frc_c_perc,frc_c_tot,frc_c_org,frc_c_inorg,frc_n_tot,frc_c_to_n,frc_15n,frc_13c,frc_rc_lab,frc_rc_lab_number,frc_rc_year,frc_14c,frc_14c_sigma,frc_14c_sd,frc_fraction_modern,frc_fraction_modern_sigma,frc_fraction_modern_sd,frc_mbc_method,frc_raw_mbc,frc_reported_mbc,frc_fe_py,frc_al_py,frc_si_py,frc_c_py,frc_py_notes,frc_fe_ox ,frc_al_ox ,frc_si_ox ,frc_c_ox ,frc_ox_notes ,frc_fe_hy ,frc_al_hy ,frc_si_hy ,frc_c_hy ,frc_hy_notes ,frc_fe_dith ,frc_al_dith ,frc_si_dith ,frc_quartz,frc_alkali_feldspar,frc_plag_feldspar,frc_mica_chlorite,frc_amphibole,frc_pyroxine ,frc_olivine,frc_volc_glass,frc_kaol_halloy,frc_smect_vermic,frc_gibbsite,frc_fe_oxides,frc_imog_alloph,frc_ferrihydrite,frc_zeolite,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bh,Tower Pit_1996_Bh_LF,Tower Pit_1996_Bh,free light,Density,g cm^-3,0,2.1,SPT,,,,,,,,,,,,,,,,,UCI,,1999,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bh,Tower Pit_1996_Bh_HF,Tower Pit_1996_Bh,heavy,Density,g cm^-3,2.1,Inf,SPT,,,,,,,,,,,,,,,,,UCI,,1999,-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bh,Tower Pit_1996_Bh_Roots,Tower Pit_1996_Bh,roots,Manual_Separation,mm,0,2,manual,,,,1.4,,,,,,,,,,,,,UCI,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bh,Tower Pit_1996_Bh_LF_<80um,Tower Pit_1996_Bhs+Bh,,Particle_Size,um,0,80,wet sieve,,,7% of LF,,,,,,,,,,,,,,UCI,,1999,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bh,Tower Pit_1996_Bh_LF_>80um,Tower Pit_1996_Bhs+Bh,,Particle_Size,um,80,2000,wet sieve,,,93% of LF,,,,,,,,,,,,,,UCI,,1999,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bs,Tower Pit_1996_Bs1+Bs2_LF,Tower Pit_1996_Bs1+Bs2,free light,Density,g cm^-3,0,2.1,SPT,,,,34.8,,,,,44.3,,,,0.27,36,,,UCI,,1999,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bs,Tower Pit_1996_Bs1+Bs2_HF,Tower Pit_1996_Bs1+Bs2,heavy,Density,g cm^-3,2.1,Inf,SPT,,,,51.5,,,,,,,,,,,,,UCI,,1999,-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bs,Tower Pit_1996_Bs1+Bs2_Roots,Tower Pit_1996_Bs1+Bs2,roots,Manual_Separation,mm,0,2,manual,,,,13.6,,,,,6.0,,,,0.25,36,,,UCI,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bs,Tower Pit_1996_Bs1+Bs2_LF_<80um,Tower Pit_1996_Bs1+Bs2_LF,,Particle_Size,um,0,80,wet sieve,,,12% of LF,,,,,,,,,,,,,,UCI,,1999,-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bs,Tower Pit_1996_Bs1+Bs2_LF_>80um,Tower Pit_1996_Bs1+Bs2_LF,,Particle_Size,um,80,2000,wet sieve,,,88% of LF,,,,,,,,,,,,,,UCI,,1999,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_BC,Tower Pit_1996_BC_LF,Tower Pit_1996_BC,free light,Density,g cm^-3,0,2.1,SPT,,,,19.5,,,,,2.2,,,,0.25,37,,,UCI,,1999,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_BC,Tower Pit_1996_BC_HF,Tower Pit_1996_BC,heavy,Density,g cm^-3,2.1,Inf,SPT,,,,80.5,,,,,,,,,,,,,UCI,,1999,-161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_E,Nutrient Control Pit_1997_E_LF,Nutrient Control Pit_1997_E,free light,Density,g cm^-3,0,2.1,SPT,,,,77.8,,,,,,,,,,,,,UCI,,1999,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_E,Nutrient Control Pit_1997_E_HF,Nutrient Control Pit_1997_E,heavy,Density,g cm^-3,2.1,Inf,SPT,,,,18.4,,,,,,,,,,,,,UCI,,1999,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_E,Nutrient Control Pit_1997_E_Roots,Nutrient Control Pit_1997_E,roots,Manual_Separation,mm,0,2,manual,,,,3.9,,,,,,,,,,,,,UCI,,1999,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bh,Nutrient Control Pit_1997_Bh_LF,Nutrient Control Pit_1997_Bh,free light,Density,g cm^-3,0,2.1,SPT,,,,69.0,,,,,,,,,,,,,UCI,,1999,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bh,Nutrient Control Pit_1997_Bh_HF,Nutrient Control Pit_1997_Bh,heavy,Density,g cm^-3,2.1,Inf,SPT,,,,28.4,,,,,,,,,,,,,UCI,,1999,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bh,Nutrient Control Pit_1997_Bh_Roots,Nutrient Control Pit_1997_Bh,roots,Manual_Separation,mm,0,2,manual,,,,2.6,,,,,,,,,,,,,UCI,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bs,Nutrient Control Pit_1997_Bs_LF,Nutrient Control Pit_1997_Bs,free light,Density,g cm^-3,0,2.1,SPT,,,,59.1,,,,,,,,,,,,,UCI,,1999,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bs,Nutrient Control Pit_1997_Bs_HF,Nutrient Control Pit_1997_Bs,heavy,Density,g cm^-3,2.1,Inf,SPT,,,,36.3,,,,,,,,,,,,,UCI,,1999,-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bs,Nutrient Control Pit_1997_Bs_Roots,Nutrient Control Pit_1997_Bs,roots,Manual_Separation,mm,0,2,manual,,,,4.6,,,,,,,,,,,,,UCI,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_BC,Nutrient Control Pit_1997_BC_LF,Nutrient Control Pit_1997_BC,free light,Density,g cm^-3,0,2.1,SPT,,,,,,,,,,,,,,,,,UCI,,1999,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_BC,Nutrient Control Pit_1997_BC_HF,Nutrient Control Pit_1997_BC,heavy,Density,g cm^-3,2.1,Inf,SPT,,,,,,,,,,,,,,,,,UCI,,1999,-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_4,Howland_Tower_Swamp_0.5cm Spagnum,Howland_Tower_Swamp_1_4,macrofossil,Manual_Separation,mm,4,6,manual,,,,,,,,,,,,,,,,,UCI,,1997,121.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_8,Howland_Tower_Swamp_4.5cm Spagnum,Howland_Tower_Swamp_1_8,macrofossil,Manual_Separation,mm,40,50,manual,,,,,,,,,,,,,,,,,UCI,,1997,129.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_12,Howland_Tower_Swamp_10.5cm Spagnum,Howland_Tower_Swamp_1_12,macrofossil,Manual_Separation,mm,100,110,manual,,,,,,,,,,,,,,,,,UCI,,1997,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_16,Howland_Tower_Swamp_16.5cm Spagnum,Howland_TL_Swamp_16,macrofossil,Manual_Separation,mm,160,165,manual,,,,,,,,,,,,,,,,,UCI,,1997,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_20,Howland_Tower_Swamp_20.5cm Spagnum,Howland_TL_Swamp_20,macrofossil,Manual_Separation,mm,200,210,manual,,,,,,,,,,,,,,,,,UCI,,1997,-22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_28,Howland_Tower_Swamp_26.5cm Spagnum,Howland_Tower_Swamp_1_28,macrofossil,Manual_Separation,mm,260,270,manual,,,,,,,,,,,,,,,,,UCI,,1997,-95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
