entry_name,site_name,pro_name,lyr_name,lyr_obs_date_y,lyr_obs_date_m,lyr_obs_date_d,lyr_all_org_neg,lyr_top,lyr_bot,lyr_hzn,lyr_note,lyr_color,lyr_burn_ev,lyr_bd_samp,lyr_bd_tot,lyr_bd_notes,lyr_sand_tot_psa,lyr_silt_tot_psa,lyr_clay_tot_psa,lyr_coarse_tot,lyr_coarse_size_thresh,lyr_texture_class,lyr_bet_surface_area,lyr_ph_cacl,lyr_ph_h2o,lyr_ph,lyr_ph_method,lyr_cat_exch,lyr_base_sum,lyr_cec_sum ,lyr_ca_exch,lyr_na_exch,lyr_mg_exch,lyr_k_exch,lyr_ecec,lyr_bs ,lyr_c_inorg,lyr_c_org,lyr_c_tot,lyr_soc,lyr_soc_sigma,lyr_n_tot,lyr_c_to_n,lyr_loi,lyr_15n,lyr_13c,lyr_rc_lab,lyr_rc_lab_number,lyr_rc_year,lyr_14c,lyr_14c_sigma,lyr_14c_sd,lyr_fraction_modern,lyr_fraction_modern_sigma,lyr_fraction_modern_sd,lyr_mbc_method,lyr_raw_mbc,lyr_reported_mbc,lyr_p_ext ,lyr_p_units ,lyr_p_method,lyr_fe_py,lyr_al_py,lyr_si_py,lyr_c_py,lyr_py_notes,lyr_fe_ox,lyr_al_ox,lyr_si_ox,lyr_c_ox,lyr_ox_notes,lyr_fe_hy,lyr_al_hy,lyr_si_hy,lyr_c_hy,lyr_hy_notes,lyr_fe_dith,lyr_al_dith,lyr_si_dith,lyr_dith_notes,lyr_quartz,lyr_alkali_feldspar,lyr_plag_feldspar,lyr_mica_chlorite,lyr_amphibole,lyr_pyroxine ,lyr_olivine,lyr_volc_glass,lyr_kaol_halloy,lyr_smect_vermic,lyr_gibbsite,lyr_fe_oxides,lyr_imog_alloph,lyr_ferrihydrite,lyr_calcite_dolomite,lyr_zeolite
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Oa,1996,,,,-4,0,Oa,,,,0.14,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,44.3,,0.2481,,0.9,,,,,,,1999,51.21490094,7.344123525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_E,1996,,,,0,6.5,E,,,,1.03,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,0.5,,0.0170,,,,,,,,,1999,7.70503841,7.177493524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bhs,1996,,,,6.5,8.5,Bhs,,,,0.65,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,6.91,,0.0550,,,,,,,,,1999,-3.642461603,4.897473855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bh,1996,,,,8.5,12.5,Bh,,,,0.65,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,6.13,,0.1141,,,,,,,,,1999,-49.76917788,3.968882637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bs1,1996,,,,12.5,21,Bs,,,,0.89,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,1.53,,0.0475,,,,,,,,,1999,-116.3824714,4.930613854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bs2,1996,,,,21,30,Bs,,,,1.39,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,1.34,,0.0586,,,,,,,,,1999,-113.7786353,5.93308252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_BC,1996,,,,30,63,BC,,,,1.39,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,0.2,,0.0934,,,,,,,,,1999,-158.7613451,5.048187749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bs,1996,,,,63,80.5,Bs,Fractionation performed on combination of Bs1 and Bs2,,,0.89,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,1999,-116.3824714,4.930613854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_4,1997,,,,-56,-52,O,,,,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_8,1997,,,,-52,-48,O,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_12,1997,,,,-48,-44,O,,,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_16,1997,,,,-44,-40,O,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_20,1997,,,,-40,-36,O,,,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_24,1997,,,,-36,-32,O,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_28,1997,,,,-32,-28,O,,,,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_32,1997,,,,-28,-24,O,,,,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_36,1997,,,,-24,-20,O,,,,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_40,1997,,,,-20,-16,O,,,,0.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_44,1997,,,,-16,-12,O,,,,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_48,1997,,,,-12,-8,O,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_52,1997,,,,-8,-4,O,,,,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Town Line Swamp,Howland_TL_Swamp_56,1997,,,,-4,0,O,bottom is mineral soil,,,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_4,1997,,,,-44,-40,O,,,,0.010,,,,,,,,,,,,,,,,,,,,,,,,41.9,,,,0.8,54.5,,-2.0,-28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_8,1997,,,,-40,-36,O,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,41.1,,,,1.0,40.4,,-0.9,-28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_12,1997,,,,-36,-32,O,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,41.3,,,,1.3,32.6,,-0.6,-27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_16,1997,,,,-32,-28,O,,,,0.060,,,,,,,,,,,,,,,,,,,,,,,,41.9,,,,1.3,31.2,,0.1,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_20,1997,,,,-28,-24,O,,,,0.060,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,1.3,32.4,,0.3,-26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_24,1997,,,,-24,-20,O,,,,0.084,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,1.5,26.1,,0.1,-28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_28,1997,,,,-20,-16,O,,,,0.080,,,,,,,,,,,,,,,,,,,,,,,,44.8,,,,1.7,26.3,,1.0,-27.8,,,,-99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_32,1997,,,,-16,-12,O,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,,1.7,28.2,,1.5,-28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_36,1997,,,,-12,-8,O,,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,,1.7,27.9,,1.6,-27.6,,,,-356.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_40,1997,,,,-8,-4,O,,,,0.078,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,1.2,33.9,,1.7,-28.2,,,,-425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 1,Howland_Tower_Swamp_1_44,1997,,,,-4,0,O,bottom is mineral soil,,,0.072,,,,,,,,,,,,,,,,,,,,,,,,32.4,,,,0.8,38.5,,1.9,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 2,Howland_Tower_Swamp_2_4,1997,,,,-32,-28,O,,,,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 2,Howland_Tower_Swamp_2_8,1997,,,,-28,-24,O,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 2,Howland_Tower_Swamp_2_12,1997,,,,-24,-20,O,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 2,Howland_Tower_Swamp_2_16,1997,,,,-20,-16,O,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 2,Howland_Tower_Swamp_2_20,1997,,,,-16,-12,O,,,,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 2,Howland_Tower_Swamp_2_24,1997,,,,-12,-8,O,,,,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 2,Howland_Tower_Swamp_2_28,1997,,,,-8,-4,O,,,,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Swamp 2,Howland_Tower_Swamp_2_32,1997,,,,-4,0,O,bottom is mineral soil,,,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
